Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP1465,formate_vs_phosphate,0.8578903525823728,0.4045412083131647,0.4533491442692081,10,12,0.13415610953242577,0.3047727645126885
MMP0049,formate_vs_phosphate,0.8910130432370964,-0.729969407480805,1.6209824507179014,4,2,0.13493618272404426,0.30548052477804466
MMP0260,formate_vs_phosphate,-0.25256592896651403,-0.541462671166446,0.28889674219993194,12,12,0.13670688051848512,0.30841829099672075
MMP0818,formate_vs_phosphate,1.3401796155478334,2.5137311829260804,-1.173551567378247,8,10,0.13756980111044145,0.3092948631862339
MMP1668,formate_vs_phosphate,-0.8797882090511554,-0.3024575290607406,-0.5773306799904148,12,12,0.13818160165697488,0.30960276384999186
MMP1634,formate_vs_phosphate,0.9091111716875292,1.9767351050013375,-1.0676239333138082,12,10,0.13907377171687105,0.3105345861623285
MMP1354,formate_vs_phosphate,0.990297822189952,-0.3683552269700261,1.3586530491599782,7,4,0.14000347252664738,0.31154356343813683
MMP0262,formate_vs_phosphate,-1.5543784857305574,-0.8395608649996518,-0.7148176207309056,5,5,0.14255632245005506,0.3160940502794927
MMP1122,formate_vs_phosphate,-0.7059732851544056,-1.0706879474893485,0.3647146623349429,12,12,0.143018013546703,0.3160940502794927
MMP0050,formate_vs_phosphate,-0.48179233445250697,-0.6578286886633432,0.17603635421083624,12,12,0.14393688252239142,0.317050160150673
MMP1445,formate_vs_phosphate,-0.049085291482178675,-0.8772492889902245,0.8281639975080458,8,7,0.14666139155063285,0.32196372825256775
MMP0453,formate_vs_phosphate,0.1285605613551249,0.8721442768533311,-0.7435837154982061,7,4,0.1486015752482975,0.3240726913909104
MMP0959,formate_vs_phosphate,0.5083228202788368,1.1372752080615507,-0.6289523877827139,8,3,0.14861615755503407,0.3240726913909104
MMP1606,formate_vs_phosphate,1.530446516255864,1.3520393035553588,0.1784072127005052,2,2,0.15039045679504873,0.3268485927679059
MMP1138,formate_vs_phosphate,0.3040078620948936,-0.11251465097148088,0.4165225130663745,9,10,0.15174137009927452,0.3278826500735656
MMP0059,formate_vs_phosphate,-0.43030162920539644,-0.04084613917308297,-0.3894554900323135,12,12,0.15204310260831666,0.3278826500735656
MMP0608,formate_vs_phosphate,0.24797850462068105,0.7208603109687396,-0.47288180634805854,11,9,0.1523749125341877,0.3278826500735656
MMP0179,formate_vs_phosphate,-0.5957678995230485,-0.21865802793616262,-0.3771098715868859,12,12,0.1544763385199633,0.33131109445728973
MMP0937,formate_vs_phosphate,-1.2881104664525025,-0.5535466235832878,-0.7345638428692147,8,6,0.15583205747698803,0.33234386217930867
MMP1176,formate_vs_phosphate,-1.581857264367525,-0.6101547303480804,-0.9717025340194446,10,12,0.15597733409028905,0.33234386217930867
MMP0901,formate_vs_phosphate,0.306843613723297,-0.30014684844217754,0.6069904621654745,12,12,0.15690320185852943,0.33322764694384754
MMP0298,formate_vs_phosphate,-0.0053936237770275675,-0.518214079892685,0.5128204561156574,12,12,0.1578736876212915,0.3338129363044957
MMP0443,formate_vs_phosphate,-0.4366419357110562,-0.15089953460046604,-0.2857424011105901,12,12,0.15820275662283614,0.3338129363044957
MMP1112,formate_vs_phosphate,-1.0488750720998712,-0.42142412482776653,-0.6274509472721046,4,6,0.1587659882982152,0.333920723775601
MMP0585,formate_vs_phosphate,0.6953562524305451,0.39705620084598287,0.29830005158456224,12,12,0.16201367042642847,0.33965566918981144
MMP0330,formate_vs_phosphate,-0.8454118902787364,-0.23487209120746794,-0.6105397990712684,2,5,0.164941930873989,0.3436711431341077
MMP1054,formate_vs_phosphate,0.4002974501874466,-0.053385695136271394,0.453683145323718,12,12,0.16559208610771436,0.3436711431341077
MMP1681,formate_vs_phosphate,0.08431301984478937,-0.5288341801076174,0.6131471999524067,10,10,0.1669575691840322,0.3436711431341077
